source,band,ep_name,epoch,clusterID,N_Icc,N_QUcc,avg_x,avg_y,dist,pa,pred_x,pred_y,core_x,core_y,fwhm_maj,fwhm_min,cpa,iflux,qflux,uflux,pflux,evpa,select,robust,use_in_fit,ClusterType,Nclusters,Nepochs,ep_min,ep_max,ref_epoch,origID,medianFlux,centX,centY,dcentX,dcentY,slopeX,slopeY,dslopeX,dslopeY,accelX,accelY,daccelX,daccelY,sizeMaj,sizeMin,sizePA,bmaj,bmin,bpa,inoise,pnoise
0003-066,u,1995_07_28,1995.5688,-1,1,0,,,,,,,-0.07706251993526306,-0.3866313529312127,,,,0.00355793,,,,,False,False,False,KMeans,5,5,1995.5688,2000.026,1998.8268,-1,,,,,,,,,,,,,,,,,1.2528000317007721,0.547056987855732,0.30248199770702,0.0015442116098809266,
0003-066,u,1995_07_28,1995.5688,0,25,0,-0.07706251993526307,-0.38663135293121265,0.3942365217077088,-168.7276549600794,-0.07706251993526306,-0.3866313529312127,-0.07706251993526306,-0.3866313529312127,0.46507862088759744,0.18530883535056775,-26.810446199126403,0.41224044399999993,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,0,0.41224044399999993,-5.963111948670274e-19,-8.131516293641283e-19,0.007614769294697003,0.016745732239275484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17398291322334639,0.10281203487077557,-0.0542982456128982,1.2528000317007721,0.547056987855732,0.30248199770702,0.0015442116098809266,
0003-066,u,1995_07_28,1995.5688,4,18,0,0.047592072181796084,0.047370681581391204,0.06714898962786293,45.13357578148581,0.07013960792877863,0.054901923096489946,-0.07706251993526306,-0.3866313529312127,0.21243356084607853,0.21243356084607853,90.0,1.0948263399999998,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,1,1.7209554822,0.17075378648923314,0.6037752243731611,0.001911424782601995,0.003205180110714512,0.007228870050703251,0.04979801974998666,0.001187377473061604,0.001991058552346897,0.0,0.0,0.0,0.0,0.1290485351026859,0.06844914690071897,1.6105617803491725,1.2528000317007721,0.547056987855732,0.30248199770702,0.0015442116098809266,
0003-066,u,1995_07_28,1995.5688,3,49,0,-0.3992149440494721,0.6292299388509565,0.7451864783386783,-32.39308502274811,-0.4096132669893281,0.6378877131383609,-0.07706251993526306,-0.3866313529312127,0.6553492042801341,0.5459033324410448,-65.19764705196054,0.4380753499,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,2,0.2113773981,-0.8007861850885274,0.8145200963982929,0.009209100952726987,0.010261713899667001,-0.1437186734298517,-0.06445640566951448,0.004285304979588621,0.004775121252236363,0.0,0.0,0.0,0.0,0.3179339886594014,0.25068190523665,-31.237704493631696,1.2528000317007721,0.547056987855732,0.30248199770702,0.0015442116098809266,
0003-066,u,1995_07_28,1995.5688,2,53,0,-1.4637934374412056,0.6311695076038801,1.5940721987491235,-66.67489597280772,-1.5101499477365654,0.6313344502668155,-0.07706251993526306,-0.3866313529312127,0.8354852003153826,0.5055224511550804,-57.00243588101843,0.194428409,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,3,0.0865580884,-2.6666143318145905,1.2165963428516502,0.01713474894530578,0.016260312135496807,-0.37861476489050755,0.06096701646826878,0.007686219842487456,0.0072939693589811625,0.0,0.0,0.0,0.0,0.4906586859174696,0.42698467621103914,-56.133366431129176,1.2528000317007721,0.547056987855732,0.30248199770702,0.0015442116098809266,
0003-066,u,1995_07_28,1995.5688,1,10,0,-6.084414896753798,1.4900482016718055,6.264211704527946,-76.23932673213076,-5.952403277756072,1.6110636552890738,-0.07706251993526306,-0.3866313529312127,0.23553151603767092,0.23553151603767092,90.0,0.007616468899999999,,,,,False,True,False,KMeans,5,5,1995.5688,2000.026,1998.8268,4,0.0444607943,-5.722138695846149,1.8241863833334016,0.01667106899673985,0.018586794010386223,0.04702334621689925,-0.05325617706779706,0.013866244143962791,0.015459657905078639,0.0,0.0,0.0,0.0,0.6357625884665257,0.5693074005282155,4.906487376583726,1.2528000317007721,0.547056987855732,0.30248199770702,0.0015442116098809266,
0003-066,u,1996_10_27,1996.82,-1,0,0,,,,,,,-0.10555019408550559,-0.4535673939205191,,,,,,,,,False,False,False,KMeans,5,5,1995.5688,2000.026,1998.8268,-1,,,,,,,,,,,,,,,,,1.280100030198084,0.480221982223596,-6.4564600016499,0.0006082598844213955,
0003-066,u,1996_10_27,1996.82,0,10,0,-0.10555019408550559,-0.45356739392051937,0.465686830712808,-166.89978966697768,-0.10555019408550559,-0.4535673939205191,-0.10555019408550559,-0.4535673939205191,0.1672512180411103,0.1672512180411103,90.0,0.345020399,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,0,0.41224044399999993,-5.963111948670274e-19,-8.131516293641283e-19,0.007614769294697003,0.016745732239275484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17398291322334639,0.10281203487077557,-0.0542982456128982,1.280100030198084,0.480221982223596,-6.4564600016499,0.0006082598844213955,
0003-066,u,1996_10_27,1996.82,4,14,0,0.06659487147232229,0.04700713018999936,0.08151409200325226,54.782989530602066,0.050696695985975454,0.050273164418363214,-0.10555019408550559,-0.4535673939205191,0.221974678149766,0.221974678149766,90.0,1.1885780901999998,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,1,1.7209554822,0.17075378648923314,0.6037752243731611,0.001911424782601995,0.003205180110714512,0.007228870050703251,0.04979801974998666,0.001187377473061604,0.001991058552346897,0.0,0.0,0.0,0.0,0.1290485351026859,0.06844914690071897,1.6105617803491725,1.280100030198084,0.480221982223596,-6.4564600016499,0.0006082598844213955,
0003-066,u,1996_10_27,1996.82,3,59,0,-0.6484248017501654,0.5090562723113486,0.8243743154079142,-51.86574629752543,-0.6179217453349904,0.4903038173753627,-0.10555019408550559,-0.4535673939205191,0.7381557661419038,0.529547305701263,36.76363097575154,0.21856848618,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,2,0.2113773981,-0.8007861850885274,0.8145200963982929,0.009209100952726987,0.010261713899667001,-0.1437186734298517,-0.06445640566951448,0.004285304979588621,0.004775121252236363,0.0,0.0,0.0,0.0,0.3179339886594014,0.25068190523665,-31.237704493631696,1.280100030198084,0.480221982223596,-6.4564600016499,0.0006082598844213955,
0003-066,u,1996_10_27,1996.82,2,98,0,-2.1081472824617014,0.6467898392834007,2.2051353837691927,-72.94373185399776,-2.012360415717783,0.6406803402826025,-0.10555019408550559,-0.4535673939205191,1.1288249253450167,0.8784087453008536,-56.56061507368106,0.107160089,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,3,0.0865580884,-2.6666143318145905,1.2165963428516502,0.01713474894530578,0.016260312135496807,-0.37861476489050755,0.06096701646826878,0.007686219842487456,0.0072939693589811625,0.0,0.0,0.0,0.0,0.4906586859174696,0.42698467621103914,-56.133366431129176,1.280100030198084,0.480221982223596,-6.4564600016499,0.0006082598844213955,
0003-066,u,1996_10_27,1996.82,1,26,0,-5.849816454268705,1.4563958200057792,6.028386295947133,-76.01961737331052,-5.922055341119734,1.4774934855525435,-0.10555019408550559,-0.4535673939205191,1.0523936653734323,0.7498754826593368,-40.15304324193801,0.019414271500000004,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,4,0.0444607943,-5.722138695846149,1.8241863833334016,0.01667106899673985,0.018586794010386223,0.04702334621689925,-0.05325617706779706,0.013866244143962791,0.015459657905078639,0.0,0.0,0.0,0.0,0.6357625884665257,0.5693074005282155,4.906487376583726,1.280100030198084,0.480221982223596,-6.4564600016499,0.0006082598844213955,
0003-066,u,1998_10_30,1998.8268,-1,7,0,,,,,,,-0.19033496392773064,-0.5469074489951585,,,,0.0094037318,,,,,False,False,False,KMeans,5,5,1995.5688,2000.026,1998.8268,-1,,,,,,,,,,,,,,,,,1.458769994695332,0.47622098692314,-13.68290003504,0.0004882565863804875,
0003-066,u,1998_10_30,1998.8268,0,34,0,-0.19033496392773058,-0.5469074489951583,0.5790813036696679,-160.81105944819402,-0.19033496392773064,-0.5469074489951585,-0.19033496392773064,-0.5469074489951585,0.2646822729843449,0.21406967403620947,0.8658817669171412,0.5475344176,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,0,0.41224044399999993,-5.963111948670274e-19,-8.131516293641283e-19,0.007614769294697003,0.016745732239275484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17398291322334639,0.10281203487077557,-0.0542982456128982,1.458769994695332,0.47622098692314,-13.68290003504,0.0004882565863804875,
